O₃ [µg/m³],NO₂ [µg/m³],SO₂ [µg/m³],PM2.5 [µg/m³],CPC [1/cm³],NOₓ [µg/m³ eq. NO₂]
8.7,30.5,0.9,27.7,9689.0,32.9
9.1,29.8,1,27.3,8978.5,31.6
6.8,30.3,0.9,27.8,8685.5,31.9
10,28.2,0.8,29.2,7710.0,29.7
11.1,29.7,0.8,28.2,12247.9,31.3
10.3,28.2,0.8,28.8,9429.6,29.3
14.2,24.1,0.7,28.5,6062.0,25
14.9,22.2,0.7,28.4,5427.8,22.8
18.4,18.7,0.6,27.6,4433.4,19.2
12.6,21.8,0.7,28.8,5265.6,22.6
12.7,20.6,0.6,30.2,4744.8,21.3
14.4,20.2,0.6,31.1,4257.4,21.1
14.1,22.5,0.6,28.9,4687.0,23.8
17.7,22.3,0.5,26.1,4565.7,24
24.2,17.6,0.5,21.4,3759.6,19
27.5,17,0.6,19.7,3980.6,18.8
-,-,-,18.5,3877.6,-
-,-,-,18.9,4523.2,-
32.2,13,0.6,19,5005.9,14.4
35.2,10.9,0.5,17.9,4131.2,11.9
35.3,12.1,0.5,18.4,3880.1,13.1
31.3,16,0.6,20,5211.3,16.9
29.5,16.7,0.6,21.7,4955.0,16.9
24.8,18.7,0.8,21.2,6105.0,19.1
24.3,19.3,0.7,21.2,5666.5,20.1
19,25.7,0.9,22.3,6624.9,26.6
11.5,34.9,1,24.5,8733.7,47.4
23.2,18.5,0.7,23,5924.9,19.5
13.2,28.6,1,24.1,7327.9,36.8
3.6,37.4,1,26.2,8519.7,46.3
8.2,30.9,0.9,24.4,6799.1,35.6
18.3,20.2,0.7,21.7,4701.0,20.8
23.4,14.8,0.6,19.7,3108.6,14.8
22.6,12.3,0.5,16.5,2497.8,12.4
15.8,18.5,0.7,17,4108.1,22.1
4.1,31.3,1,21.7,6888.7,39.6
10.1,24.5,0.9,17.6,4927.0,26.1
2.7,37.7,1.5,22.9,11549.4,88.4
3,38.1,2.1,25.8,13270.1,98.7
7.1,32.2,1.8,24.7,10178.1,77.6
17.9,20.2,1.2,20,4973.4,33.3
17.6,18.7,1,18.3,4356.6,25.6
22.3,12.7,0.8,17.8,3335.0,16.3
26.1,11,0.7,16.2,2680.8,13.6
34.2,10.4,0.7,12.8,3323.8,11.6
